"NAME"	"REGION"	"COUNTRY"	"STATUS"
"Barstowite"	"Cornwall"	"United Kingdom"	"Abundant"
"Oldhamite"	"Uttar Pradesh"	"India"	"Abundant"
"Oldhamite"	"Thuringen"	"Germany"	"scarce"
"Wattersite"	"California"	"USA"	"Moderate"
"Astrophyllite"	"California"	"USA"	"Rare"
"Astrophyllite"	"Vestfold"	"Norway"	"Moderate"
"Astrophyllite"	"Kola Peninsula"	"Russia"	"Rare"
"Hydroastrophyllite"	"Northern Region"	"Russia"	"Abundant"
"Kupletskite"	"Northern Region"	"Russia"	"Moderate"
"Kupletskite"	"Quebec"	"Canada"	"Rare"
"Kupletskite"	"Arkansas"	"USA"	"Abundant"
"Sveinbergeite"	"Vestfold"	"Norway"	"Rare"
"Kaersutite"	"Qaasuitsup"	"Greenland"	"Rare"
"Kaersutite"	"Rhineland-Palatinate"	"Germany"	"Rare"
"Ferri-obertiite"	"Rhineland-Palatinate"	"Germany"	"Abundant"
"Ferrokentbrooksite"	"Telemark"	"Norway"	"Rare"
"Golyshevite"	"Northern Region"	"Russia"	"Moderate"
"Kaersutite"	"Plzen Region"	"Czech Republic"	"Moderate"
"Ferrokentbrooksite"	"Quebec"	"Canada"	"Rare"
"Devilline"	"Banská Bystrica"	"Slovakia"	"Abundant"
"Devilline"	"Attikí Prefecture (Attica; Attika)"	"Greece"	"Moderate"
"Uralite"	"Alaska"	"USA"	"Moderate"
"Uralite"	"New York"	"USA"	"Abundant"
